belongs_to_collection_id,belongs_to_collection_name
0,#TemanTapiMenikah
1,... Cameras Collection
2,..... Is Gone
3,.hack Collection
4,10 giorni... - Collezione
5,10/31 Collection
6,100 Girls Collection
7,100% Coco Collection
8,101 Dalmatians (Live-Action) Collection
9,12 Dogs of Christmas Collection
10,12 Rounds Collection
11,14+ (Коллекция)
12,18+ - Collection
13,1920 Collection
14,1981 Collection
15,2 Days In... Collection
16,2001 Maniacs Collection
17,20th Century Boys Collection
18,28 Days/Weeks Later Collection
19,3 A.M. Collection
20,3 Braves Universe
21,3 Little Pigs collection
22,30 Days of Night Collection
23,300 Collection
24,365 Days Collection
25,4 Horror Tales Collection
26,47 Meters Down Collection
27,47 Ronin Collection
28,64 Collection
29,666 Collection
30,8 свиданий (Коллекция)
31,A Bread Factory Collection
32,A California Christmas Collection
33,A Chinese Odyssey Collection
34,A Christmas Prince Collection
35,A Class to Remember Collection
36,A Doggone Collection
37,A Família Natal (Coleção)
38,A Few Best Men Collection
39,A Frozen Christmas Collection
40,A Godwink Christmas Collection
41,A Haunted House Collection
42,A Man and a Woman Collection
43,A Meowy Collection
44,A Quiet Place Collection
45,A Second Chance Collection
46,A Simple Favor Collection
47,A Very Special Love Collection
48,ABCD Collection
49,AIBOU Collection
50,AMV Hell
51,ARCHIE Collection
52,AVP Collection
53,Aadu Collection
54,Aashiqui Collection
55,Ab Tak Chhappan Collection
56,About Love Collection
57,Accident Man Collection
58,"Achtung, fertig Filmreihe"
59,Act Naturally Collection
60,Ada Apa Dengan Cinta? Collection
61,Adam Chaplin Collection
62,Admiral Yi Collection
63,Adventures of Bailey Collection
64,Adventures of Jurassic Pet Collection
65,After Collection
66,After School Horror - Collection
67,Against the Wild Collection
68,Agent Cody Banks Collection
69,Ah Boys to Men Collection
70,Aileen Wuornos Collection
71,Ajin Collection
72,Akihabara Trilogy
73,Aladdin (Live-Action) Collection
74,Aldo Giovanni e Giacomo Collection
75,Alejandro Jodorowsky Autobiography Collection
76,Alex Cross Collection
77,Algjör Sveppi
78,Alice in Wonderland Collection
79,Alien Factor Collection
80,Alien Sex Files
81,Aliens Ate My Homework Collection
82,All for ...
83,Alligator Ladies Collection
84,Almighty Collection
85,Alone in the Dark Collection
86,Along Came the Devil Collection
87,Along with the Gods Collection
88,Alpha and Omega Collection
89,Alvin and the Chipmunks Collection
90,Always: Sunset on Third Street Collection
91,Amateur Porn Star Killer Collection
92,Ambra Collection
93,American Civil War Collection
94,American Guinea Pig Collection
95,American Pie Collection
96,American Poltergeist
97,American Psycho Collection
98,An American Girl Collection
