tconst,nconst,director_id
tt0035423,nm0003506,520
tt0062336,nm0749914,10360
tt0062336,nm0765384,10574
tt0069049,nm0000080,1
tt0088751,nm0078540,1734
tt0088751,nm0628399,8918
tt0096056,nm0324875,4887
tt0100275,nm0749914,10360
tt0100275,nm0765384,10574
tt0108549,nm1131265,16415
tt0108549,nm1130611,16401
tt0113026,nm0006916,781
tt0113092,nm0235012,3799
tt0113092,nm0003644,533
tt0114447,nm0561917,8073
tt0115937,nm0015681,939
tt0116391,nm0451261,6616
tt0116628,nm0346334,5188
tt0116991,nm0007037,789
tt0117743,nm0404033,5930
tt0118141,nm0000417,88
tt0118589,nm0193554,3297
tt0118652,nm0440948,6458
tt0118694,nm0939182,12815
tt0118710,nm0063276,1545
tt0118852,nm0000199,37
tt0118926,nm0000518,118
tt0119004,nm0730222,10138
tt0119231,nm0818538,11283
tt0119273,nm0501341,7313
tt0119273,nm0170402,2989
tt0119495,nm0298158,4551
tt0119806,nm0254213,4017
tt0119806,nm0403290,5919
tt0119830,nm0404882,5942
tt0119966,nm0002620,441
tt0119970,nm0483645,7068
tt0119980,nm0217546,3567
tt0120166,nm0514247,7495
tt0120202,nm0000519,119
tt0120263,nm0027815,1096
tt0120467,nm0424682,6223
tt0120589,nm0004000,573
tt0120607,nm0217937,3570
tt0120624,nm0733821,10180
tt0120626,nm0210218,3474
tt0120630,nm0520485,7577
tt0120630,nm0661910,9353
tt0120667,nm1103162,15834
tt0120673,nm0123269,2315
tt0120679,nm0853380,11718
tt0120681,nm0400436,5882
tt0120681,nm0400441,5883
tt0120698,nm0915394,12538
tt0120733,nm0212593,3503
tt0120737,nm0001392,282
tt0120753,nm0000694,154
tt0120755,nm0000247,51
tt0120804,nm0027271,1087
tt0120807,nm0215769,3544
tt0120824,nm0002120,392
tt0120903,nm0001741,345
tt0120912,nm0001756,349
tt0120913,nm0089940,1892
tt0120913,nm0325776,4910
tt0120917,nm0227540,3700
tt0121164,nm0000318,62
tt0121164,nm0425843,6232
tt0121765,nm0000184,32
tt0121766,nm0000184,32
tt0122161,nm0442893,6496
tt0122247,nm0806102,11130
tt0122459,nm0001372,280
tt0123003,nm0000511,115
tt0123055,nm0567979,8163
tt0123581,nm0602333,8570
tt0124889,nm0562344,8079
tt0125022,nm0592400,8451
tt0126029,nm0011470,881
tt0126029,nm0421776,6188
tt0126899,nm0325189,4895
tt0127349,nm0330360,4985
tt0128158,nm0224084,3657
tt0128165,nm1257937,18845
tt0128216,nm0163562,2910
tt0130623,nm0500343,7296
tt0130623,nm0957798,13130
tt0131597,nm0080719,1775
tt0131704,nm0005197,681
tt0132078,nm0874358,12008
tt0132245,nm0001317,269
tt0132885,nm0051284,1405
tt0132885,nm0051285,1406
tt0132910,nm0620576,8836
tt0133063,nm0576666,8254
tt0133152,nm0000318,62
tt0133240,nm0166256,2944
tt0133240,nm0615780,8753
tt0133752,nm0181784,3137
tt0134084,nm0000127,15
tt0134630,nm0001591,314
tt0134847,nm0878638,12076
tt0134983,nm0001353,275
tt0134983,nm0000338,65
tt0134983,nm0794791,10988
tt0135707,nm0791140,10937
tt0135991,nm6032566,49886
tt0136517,nm0005703,724
tt0137204,nm0365480,5436
tt0137698,nm1530387,22554
tt0138288,nm0479055,7002
tt0138353,nm0664499,9376
tt0138524,nm0001054,224
tt0138524,nm0001053,223
tt0138749,nm0074426,1673
tt0138749,nm0666802,9407
tt0138749,nm0005076,666
tt0138818,nm0337806,5076
tt0138927,nm0075727,1693
tt0138946,nm0336695,5065
tt0139159,nm0475371,6953
tt0139297,\N,0
tt0139388,nm0270090,4200
tt0139500,nm0182276,3142
tt0139654,nm0298807,4559
tt0140806,nm0004001,574
tt0141120,nm0413465,6088
tt0141907,nm0155093,2755
tt0141926,nm0609236,8653
tt0142634,nm0849587,11675
tt0142650,nm0332467,5012
tt0143344,nm0235387,3803
tt0143558,nm2836167,32896
tt0144084,nm0366004,5441
tt0144142,nm0472495,6920
tt0144280,nm0628399,8918
tt0144528,nm0781842,10815
tt0144574,nm0454432,6684
tt0144608,nm0414312,6095
tt0144608,nm0725572,10077
tt0144964,nm0007439,819
tt0145487,nm0000600,133
tt0146063,nm0841610,11561
tt0146272,nm0413882,6092
tt0146309,nm0002044,384
tt0146316,nm0922346,12629
tt0146803,nm0111958,2176
tt0146882,nm0001241,259
tt0146984,nm0000602,135
tt0147447,\N,0
tt0147486,nm0701245,9808
tt0148120,nm0370279,5494
tt0148415,nm0766578,10603
tt0148421,nm0203429,3409
tt0149253,nm0784805,10853
tt0149367,nm0437709,6400
tt0149624,nm0000671,150
tt0150021,nm0005077,667
tt0151150,nm0451257,6615
tt0151299,nm0813278,11218
tt0151309,nm0003784,551
tt0151685,nm0032741,1157
tt0152083,nm0078233,1728
tt0152772,nm0938142,12799
tt0153012,nm0803524,11101
tt0153012,nm0112915,2191
tt0153100,nm5384247,47551
tt0153464,nm0351993,5266
tt0153516,nm1103107,15828
tt0153517,\N,0
tt0153533,nm0907187,12425
tt0154187,nm0563058,8088
tt0155150,nm0077855,1722
tt0156020,nm0276823,4293
tt0156100,nm0912719,12509
tt0156323,nm0018735,973
tt0156323,nm0438989,6424
tt0156376,nm0126032,2357
tt0156741,nm0095868,1965
tt0156757,nm0287161,4444
tt0156807,nm0000635,143
tt0156812,nm0751221,10378
tt0156841,nm0772259,10685
tt0156942,nm0470323,6890
tt0157007,nm0542126,7844
tt0157122,nm0880521,12104
tt0157191,nm0001568,310
tt0157202,nm0459828,6748
tt0157262,nm0326161,4923
tt0157472,nm0000408,84
tt0157583,nm0000776,167
tt0157836,nm0816074,11256
tt0158033,nm0614584,8735
tt0158622,nm0505152,7368
tt0159273,nm0601382,8559
tt0159290,nm0209010,3458
tt0159291,nm0533383,7722
tt0159365,nm0005237,685
tt0159371,nm0393450,5775
tt0159378,nm1186560,17541
tt0159396,nm0146977,2620
tt0159784,nm0152640,2721
