imdb_id,belongs_to_collection_id
tt0113026,1898
tt0113092,1898
tt0116391,1898
tt0118694,1898
tt0118852,1898
tt0119273,625
tt0119495,1898
tt0119806,1898
tt0120202,1898
tt0120263,1898
tt0120467,1898
tt0120626,1898
tt0120630,292
tt0120698,1898
tt0120733,1898
tt0120753,1898
tt0120755,960
tt0120903,1868
tt0120913,1898
tt0120917,1898
tt0122161,1898
tt0122459,1898
tt0123003,1898
tt0123055,1898
tt0127349,1898
tt0128158,1898
tt0130623,1898
tt0131704,1898
tt0132885,1898
tt0132910,1494
tt0133752,1898
tt0134084,1252
tt0134630,1898
tt0134847,1481
tt0134983,1898
tt0135707,1898
tt0138288,1898
tt0138353,1898
tt0138749,1898
tt0138818,1898
tt0138927,1898
tt0138946,1898
tt0139388,1898
tt0139500,1528
tt0141926,1898
tt0142650,1898
tt0143344,1898
tt0144084,97
tt0144142,1898
tt0144528,1615
tt0144574,1898
tt0144608,1898
tt0144964,643
tt0146309,1898
tt0146882,1898
tt0146984,1898
tt0147486,1898
tt0148120,1898
tt0148421,1898
tt0149367,1898
tt0149624,1898
tt0151150,1898
tt0151309,1898
tt0153012,1898
tt0153100,1898
tt0153464,1898
tt0155150,1898
tt0156020,1898
tt0156323,1898
tt0156741,1898
tt0156757,1898
tt0156807,1898
tt0156812,1898
tt0156841,1898
tt0156942,1898
tt0157122,1898
tt0157202,1898
tt0157262,1898
tt0157836,1898
tt0158033,1898
tt0158622,1526
tt0159291,1898
tt0159371,1898
tt0159396,1898
tt0159784,1898
tt0160009,1444
tt0160127,1898
tt0160256,1898
tt0160289,1898
tt0160403,1898
tt0160434,1898
tt0160447,1898
tt0160484,1898
tt0160495,1898
tt0160547,1898
tt0160611,1898
tt0160616,1898
tt0160644,1898
tt0160652,1898
tt0160663,1898
tt0160710,1898
tt0160749,1898
tt0160759,1898
tt0160797,1898
tt0160859,1898
tt0161003,1898
tt0161081,1898
tt0161216,1898
tt0162222,1898
tt0162650,1268
tt0162711,1898
tt0162983,1898
tt0163080,1898
tt0163125,1898
tt0163676,1898
tt0163745,1898
tt0163978,1898
tt0163983,1898
tt0164052,646
tt0164182,1898
tt0164192,1898
tt0164212,1898
tt0164318,1898
tt0164545,1898
tt0164953,1898
tt0165400,1898
tt0165642,1898
tt0165800,1898
tt0165928,1898
tt0165929,1898
tt0166013,1898
tt0166192,1898
tt0166370,1898
tt0167183,1898
tt0167203,1898
tt0168446,1898
tt0168504,1898
tt0168509,1898
tt0168612,1898
tt0168629,1898
tt0168631,1898
tt0168714,1898
tt0168856,1898
tt0169122,1898
tt0169324,1898
tt0169543,1898
tt0170016,1898
tt0170452,1898
tt0170691,1898
tt0171356,1898
tt0171359,1898
tt0171433,1898
tt0171580,1898
tt0172464,1898
tt0172495,1898
tt0172632,1898
tt0172699,1898
tt0172794,1898
tt0172949,1898
tt0173568,1898
tt0173716,1898
tt0174336,1898
tt0174480,1898
tt0174646,1898
tt0175114,1898
tt0175142,1250
tt0175526,1898
tt0176244,1898
tt0176579,1898
tt0176650,1898
tt0176783,1898
tt0177068,1898
tt0177185,1898
tt0177195,1898
tt0177213,1898
tt0177513,1898
tt0177650,1898
tt0177845,1898
tt0177858,1898
tt0177888,1898
tt0177971,1898
tt0178043,1898
tt0178050,1898
tt0179144,1898
tt0179183,504
tt0179400,1898
tt0179443,1898
tt0179473,1898
tt0179653,1898
tt0179861,1898
tt0180073,1898
tt0180093,1898
tt0180683,1898
tt0181151,1898
tt0181311,1898
tt0181536,1898
tt0181836,1898
tt0181865,1898
tt0181875,1898
