imdb_id,budget,revenue,certification,popularity,vote_average,vote_count
tt0113026,10000000.0,0.0,,3.291,5.5,22.0
tt0113092,0.0,0.0,,2.566,5.1,8.0
tt0116391,0.0,0.0,,0.84,4.0,1.0
tt0118694,150000.0,12854953.0,PG,24.889,8.1,2070.0
tt0118852,0.0,0.0,R,3.993,6.813,48.0
tt0119273,15000000.0,0.0,R,10.683,6.073,170.0
tt0119495,0.0,0.0,R,1.091,0.0,0.0
tt0119806,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0120202,0.0,0.0,,13.04,6.369,172.0
tt0120263,0.0,80334.0,,9.293,7.218,225.0
tt0120467,120000.0,14904.0,R,4.182,5.4,42.0
tt0120626,6105121.0,0.0,,3.941,6.394,50.0
tt0120630,45000000.0,224834564.0,G,46.941,6.735,4213.0
tt0120698,0.0,0.0,,1.4,6.0,1.0
tt0120733,0.0,0.0,NR,2.948,5.0,8.0
tt0120753,8000000.0,105983.0,R,14.477,5.904,260.0
tt0120755,125000000.0,546388105.0,PG-13,33.42,6.109,5581.0
tt0120903,75000000.0,296339527.0,PG-13,1.895,6.983,10009.0
tt0120913,75000000.0,36754634.0,PG,18.185,6.609,915.0
tt0120917,100000000.0,169327687.0,G,66.045,7.548,5737.0
tt0122161,0.0,0.0,R,2.606,5.0,6.0
tt0122459,24000000.0,36609995.0,PG,13.069,6.595,362.0
tt0123003,10000000.0,0.0,,5.971,6.833,24.0
tt0123055,0.0,0.0,G,1.054,4.0,1.0
tt0127349,8500000.0,327418.0,R,11.577,6.203,74.0
tt0128158,0.0,0.0,,0.6000000000000001,4.7,3.0
tt0130623,127500000.0,354248063.0,PG,56.737,6.509,2146.0
tt0131704,76000000.0,35134820.0,PG,15.736,4.073,315.0
tt0132885,0.0,0.0,,0.781,4.7,5.0
tt0132910,10000000.0,0.0,R,11.171,5.401,263.0
tt0133752,0.0,0.0,,1.091,0.0,0.0
tt0134084,40000000.0,161834276.0,R,33.426,5.9510000000000005,2744.0
tt0134630,0.0,0.0,R,11.762,5.8,122.0
tt0134847,23000000.0,53187659.0,R,13.344,6.831,3839.0
tt0134983,90000000.0,14828081.0,R,12.928,4.954,312.0
tt0135707,0.0,0.0,,2.523,6.0,6.0
tt0138288,0.0,0.0,,1.893,10.0,1.0
tt0138353,1700000.0,0.0,,2.09,5.3,3.0
tt0138749,95000000.0,76432727.0,PG,43.185,7.243,3296.0
tt0138818,0.0,0.0,PG-13,0.874,4.0,1.0
tt0138927,0.0,0.0,PG-13,0.6000000000000001,6.0,4.0
tt0138946,0.0,0.0,R,15.292,6.19,352.0
tt0139388,0.0,0.0,PG,6.556,6.206,17.0
tt0139500,0.0,0.0,,2.701,6.6,38.0
tt0141926,62000000.0,127666415.0,PG-13,22.025,6.447,998.0
tt0142650,0.0,0.0,R,1.027,0.0,0.0
tt0143344,0.0,0.0,,1.644,3.0,2.0
tt0144084,7000000.0,34266564.0,R,67.865,7.391,8784.0
tt0144142,3000000.0,0.0,R,5.876,4.6,45.0
tt0144528,84000000.0,123307945.0,PG-13,19.818,4.994,1115.0
tt0144574,0.0,0.0,,0.745,1.0,1.0
tt0144608,0.0,0.0,PG,4.851,4.6,20.0
tt0144964,25000000.0,15843608.0,R,17.066,4.835,328.0
tt0146309,80000000.0,34566746.0,PG-13,17.087,6.998,609.0
tt0146882,30000000.0,47126295.0,R,19.63,7.1370000000000005,1660.0
tt0146984,80000000.0,39459427.0,PG-13,16.617,6.524,760.0
tt0147486,0.0,0.0,,0.655,0.0,0.0
tt0148120,0.0,0.0,,0.68,0.0,0.0
tt0148421,0.0,0.0,,1.4,0.0,0.0
tt0149367,0.0,0.0,PG-13,4.954,6.0,51.0
tt0149624,57000000.0,0.0,PG-13,13.377,5.87,182.0
tt0151150,6900000.0,15000000.0,,5.693,5.885,52.0
tt0151309,0.0,0.0,,0.6000000000000001,3.0,1.0
tt0153012,0.0,0.0,,0.6000000000000001,2.0,1.0
tt0153100,0.0,0.0,,0.735,2.0,2.0
tt0153464,0.0,0.0,,4.47,5.3,24.0
tt0155150,0.0,0.0,R,2.462,3.9,8.0
tt0156020,0.0,0.0,,2.734,5.9,14.0
tt0156323,10000000.0,7201701.0,R,8.76,5.64,68.0
tt0156741,0.0,0.0,R,1.859,3.7,3.0
tt0156757,0.0,0.0,PG-13,6.209,5.2,23.0
tt0156807,0.0,0.0,PG-13,3.506,4.0,10.0
tt0156812,6000000.0,35547761.0,PG,13.77,6.771,247.0
tt0156841,25000000.0,24362772.0,PG-13,11.675,5.2,164.0
tt0156942,1200000.0,0.0,,1.147,0.0,0.0
tt0157122,0.0,0.0,R,5.743,6.9,36.0
tt0157202,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0157262,26000000.0,270813.0,R,12.338,4.351,212.0
tt0157836,0.0,0.0,,1.094,3.462,13.0
tt0158033,0.0,0.0,,2.145,5.2,11.0
tt0158622,83000000.0,59468275.0,PG,24.26,4.813,632.0
tt0159291,0.0,0.0,,1.291,1.0,1.0
tt0159371,0.0,0.0,,0.6000000000000001,3.5,2.0
tt0159396,0.0,0.0,,1.4,0.0,0.0
tt0159784,0.0,0.0,R,8.234,6.198,134.0
tt0160009,40000000.0,30199105.0,R,9.874,5.725,415.0
tt0160127,92000000.0,264105545.0,PG-13,23.965,5.82,3659.0
tt0160256,0.0,0.0,,0.839,5.8,4.0
tt0160289,0.0,0.0,,3.067,4.3,6.0
tt0160403,0.0,0.0,R,1.76,5.25,8.0
tt0160434,0.0,0.0,R,1.235,4.0,2.0
tt0160447,0.0,0.0,,0.6000000000000001,4.7,3.0
tt0160484,50000000.0,31355910.0,R,12.785,5.105,143.0
tt0160495,12000000.0,0.0,R,2.938,5.486,14.0
tt0160547,0.0,0.0,,0.765,4.0,4.0
tt0160611,0.0,0.0,,9.824,6.159,189.0
tt0160616,800000.0,0.0,,2.596,3.5,8.0
tt0160644,0.0,0.0,,7.214,5.8,33.0
tt0160652,0.0,0.0,R,1.771,1.0,1.0
tt0160663,0.0,0.0,,2.734,4.6,5.0
tt0160710,0.0,0.0,PG-13,0.81,4.7,6.0
tt0160749,0.0,0.0,PG,3.094,5.8100000000000005,21.0
tt0160759,0.0,0.0,,0.6000000000000001,6.2,4.0
tt0160797,60000000.0,71000000.0,R,14.285,6.2,580.0
tt0160859,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0161003,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0161081,100000000.0,291420351.0,PG-13,20.111,6.409,1541.0
tt0161216,0.0,0.0,,5.086,5.9,24.0
tt0162222,90000000.0,429632142.0,PG-13,52.301,7.657,9902.0
tt0162650,46000000.0,107626125.0,R,19.489,5.969,1073.0
tt0162711,0.0,0.0,R,5.275,5.2,16.0
tt0162983,60000000.0,51880044.0,PG-13,11.659,5.23,148.0
tt0163080,0.0,0.0,,4.008,5.727,11.0
tt0163125,0.0,0.0,,1.4,3.6,5.0
tt0163676,15000000.0,5217498.0,PG-13,6.089,4.521,47.0
tt0163745,1000000.0,0.0,R,2.204,5.8,5.0
tt0163978,40000000.0,144056873.0,R,21.876,6.455,3811.0
tt0163983,40000000.0,0.0,R,14.906,5.248,240.0
tt0164052,95000000.0,190213455.0,R,28.772,5.906,2148.0
tt0164182,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0164192,0.0,0.0,,4.787,5.375,16.0
tt0164212,25000000.0,1308242.0,R,13.202,6.113,381.0
tt0164318,0.0,0.0,,1.981,4.0,5.0
tt0164545,0.0,0.0,,2.254,5.5,2.0
tt0164953,0.0,0.0,,0.84,0.0,0.0
tt0165400,0.0,0.0,,2.621,3.0,4.0
tt0165642,0.0,0.0,,0.681,4.3,3.0
tt0165800,0.0,0.0,,2.296,2.3,6.0
tt0165928,0.0,0.0,R,1.255,1.0,1.0
tt0165929,25000000.0,91036760.0,R,25.274,6.193,986.0
tt0166013,0.0,0.0,,0.879,4.8,6.0
tt0166192,0.0,0.0,,1.17,0.0,0.0
tt0166370,100000.0,0.0,,6.385,5.0,50.0
tt0167183,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0167203,34000000.0,14400327.0,PG-13,12.18,5.563,63.0
tt0168446,0.0,0.0,,3.835,6.479,24.0
tt0168504,0.0,0.0,R,5.64,5.8,20.0
tt0168509,0.0,0.0,,1.211,0.0,0.0
tt0168612,10000.0,10000.0,R,0.872,0.0,0.0
tt0168629,12800000.0,40031879.0,R,30.944,7.9,1491.0
tt0168631,0.0,0.0,,1.622,4.2,10.0
tt0168714,0.0,0.0,,0.6000000000000001,1.5,2.0
tt0168856,18000000.0,5595327.0,,15.049,6.69,336.0
tt0169122,0.0,0.0,,9.934,5.3,6.0
tt0169324,0.0,0.0,R,2.453,4.0,4.0
tt0169543,0.0,0.0,,3.414,5.991,55.0
tt0170016,123000000.0,345823040.0,PG,275.599,6.746,6352.0
tt0170452,0.0,0.0,,1.382,4.5,12.0
tt0170691,10000000.0,148701.0,R,18.308,6.614,466.0
tt0171356,10000000.0,1631839.0,R,9.55,5.319,108.0
tt0171359,2000000.0,1568749.0,R,8.735,5.784,116.0
tt0171433,30000000.0,59945183.0,PG-13,14.035,6.072,517.0
tt0171580,24000000.0,0.0,R,11.582,5.9,332.0
tt0172464,0.0,0.0,,3.13,2.5,2.0
tt0172495,103000000.0,465361176.0,R,64.585,8.205,15929.0
tt0172632,0.0,0.0,,1.942,6.154,13.0
tt0172699,0.0,0.0,,2.355,2.0,1.0
tt0172794,0.0,0.0,R,2.919,4.0,3.0
tt0172949,100000.0,0.0,R,0.6000000000000001,0.0,0.0
tt0173568,0.0,0.0,,0.961,0.0,0.0
tt0173716,10000000.0,0.0,R,10.412,6.41,205.0
tt0174336,3000000.0,0.0,R,4.731,3.769,39.0
tt0174480,65000000.0,0.0,PG-13,15.917,6.092,597.0
tt0174646,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0175114,0.0,0.0,,1.155,0.0,0.0
tt0175142,19000000.0,278019771.0,R,95.664,6.319,5910.0
tt0175526,0.0,0.0,R,10.652,5.258,229.0
tt0176244,0.0,0.0,,2.648,3.0,1.0
tt0176579,0.0,0.0,R,2.427,3.0,5.0
tt0176650,0.0,0.0,R,1.355,5.417,12.0
tt0176783,14000000.0,5108820.0,R,11.819,5.764,191.0
tt0177068,0.0,0.0,R,1.901,4.8,7.0
tt0177185,0.0,0.0,,3.218,4.6,8.0
tt0177195,30000.0,0.0,,2.5540000000000003,3.4,5.0
tt0177213,0.0,0.0,,1.243,6.0,4.0
tt0177513,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0177650,16000000.0,146193.0,PG-13,8.179,4.7,25.0
tt0177845,0.0,0.0,,4.792,5.639,18.0
tt0177858,0.0,0.0,,5.635,7.308,177.0
tt0177888,0.0,27.0,R,1.96,3.0,2.0
tt0177971,120000000.0,325756637.0,PG-13,28.591,6.408,1889.0
tt0178043,0.0,0.0,R,3.209,5.7,11.0
tt0178050,0.0,0.0,R,3.361,4.7,12.0
tt0179144,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0179183,11000000.0,0.0,R,12.112,5.082,159.0
tt0179400,0.0,0.0,,0.842,0.0,0.0
tt0179443,0.0,0.0,,1.777,3.1,9.0
tt0179473,4000000.0,0.0,R,4.272,5.136,11.0
tt0179653,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0179861,0.0,0.0,,4.191,3.522,23.0
tt0180073,13500000.0,7060876.0,,15.993,7.15,531.0
tt0180093,4500000.0,7390108.0,R,17.201,8.034,8556.0
tt0180683,0.0,0.0,,1.5779999999999998,0.0,0.0
tt0181151,60000000.0,0.0,R,9.349,5.508,127.0
tt0181311,0.0,0.0,,2.277,6.4,31.0
tt0181536,43000000.0,80049764.0,PG-13,15.377,7.09,922.0
tt0181836,0.0,0.0,R,5.693,5.308,26.0
tt0181865,48000000.0,207515725.0,R,30.73,7.06,1771.0
tt0181875,60000000.0,47386287.0,NR,21.208,7.483,2277.0
tt0181945,0.0,0.0,,0.917,0.0,0.0
tt0181984,7000000.0,28780255.0,R,16.801,6.727,548.0
tt0182295,13000000.0,299792.0,,4.9350000000000005,5.6,54.0
tt0182508,0.0,0.0,,4.657,5.815,27.0
tt0183056,0.0,0.0,,2.81,6.0,20.0
tt0183113,0.0,0.0,,1.377,1.0,1.0
tt0183142,0.0,0.0,,2.421,4.4,5.0
tt0183280,0.0,0.0,R,1.351,4.6,7.0
tt0183423,0.0,0.0,,1.452,0.0,0.0
tt0183488,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0183505,51000000.0,149270999.0,R,29.193,6.572,3272.0
tt0183523,90000000.0,60874615.0,PG,18.95,5.987,1186.0
tt0183550,0.0,0.0,,1.756,0.0,0.0
tt0183639,0.0,0.0,,0.907,10.0,1.0
tt0183659,6000000.0,10994533.0,R,12.681,6.68,256.0
tt0183808,3500000.0,0.0,,3.048,5.8,6.0
tt0183869,10500000.0,64400000.0,,21.267,6.221,1482.0
tt0184457,0.0,0.0,,1.4,2.0,1.0
tt0184858,42000000.0,32168970.0,R,14.931,5.64,537.0
tt0184894,55000000.0,99274467.0,PG-13,21.741,6.4,2163.0
tt0184907,13000000.0,62464731.0,PG,11.561,5.066,175.0
tt0185007,0.0,537.0,,5.079,4.6,7.0
tt0185014,35000000.0,0.0,R,15.872,6.8,497.0
tt0185183,73000000.0,29000000.0,PG-13,24.354,3.239,688.0
tt0185431,85000000.0,58292295.0,PG-13,27.197,5.875,1544.0
tt0185542,0.0,0.0,,1.899,5.0,5.0
tt0186029,0.0,0.0,,0.952,0.0,0.0
tt0186045,6000000.0,15427192.0,PG-13,11.731,5.6,137.0
tt0186151,31000000.0,68106245.0,PG-13,17.881,7.198,1440.0
tt0186183,700000.0,0.0,,9.677,5.621,62.0
tt0186454,0.0,0.0,,1.904,8.0,4.0
tt0186549,0.0,0.0,R,2.734,4.7,3.0
tt0186566,65000000.0,128884132.0,PG-13,18.036,6.366,1163.0
tt0186719,0.0,0.0,,0.711,4.8,4.0
tt0186894,35000000.0,36779296.0,PG-13,11.797,5.731,340.0
tt0186975,9000000.0,0.0,PG-13,9.023,5.173,208.0
tt0187078,90000000.0,237202299.0,PG-13,35.194,6.4,3768.0
tt0187387,0.0,0.0,PG-13,1.6960000000000002,5.7,3.0
tt0187393,110000000.0,215294342.0,R,37.208,7.2,3316.0
tt0187559,3000000.0,0.0,R,2.8120000000000003,6.0,5.0
tt0187696,0.0,0.0,R,10.479,6.1,240.0
tt0187750,0.0,0.0,R,0.6000000000000001,4.0,2.0
tt0187761,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0187847,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0188045,10000000.0,0.0,,2.145,5.3,5.0
tt0188055,0.0,0.0,,2.321,5.421,19.0
