certification,budget,revenue,imdb_id
,,,0
PG-13,48000000.0,76019000.0,tt0035423
,10000000.0,0.0,tt0113026
,0.0,0.0,tt0113092
,0.0,0.0,tt0114447
,0.0,0.0,tt0116391
PG-13,22000000.0,5271670.0,tt0118589
R,1000000.0,0.0,tt0118652
PG,150000.0,12855000.0,tt0118694
R,0.0,0.0,tt0118852
,0.0,6297.0,tt0119004
R,15000000.0,0.0,tt0119273
R,0.0,0.0,tt0119495
,0.0,0.0,tt0119806
NR,0.0,0.0,tt0120166
,0.0,0.0,tt0120202
,0.0,80334.0,tt0120263
R,120000.0,14904.0,tt0120467
,0.0,0.0,tt0120624
,6105120.0,0.0,tt0120626
G,45000000.0,224835000.0,tt0120630
R,35000000.0,74558100.0,tt0120681
,0.0,0.0,tt0120698
NR,0.0,0.0,tt0120733
PG-13,93000000.0,871368000.0,tt0120737
R,8000000.0,105983.0,tt0120753
PG-13,125000000.0,546388000.0,tt0120755
,0.0,0.0,tt0120807
R,38000000.0,24690400.0,tt0120824
PG-13,75000000.0,296340000.0,tt0120903
PG,75000000.0,36754600.0,tt0120913
G,100000000.0,169328000.0,tt0120917
R,0.0,0.0,tt0122161
PG,24000000.0,36610000.0,tt0122459
,10000000.0,0.0,tt0123003
G,0.0,0.0,tt0123055
,0.0,0.0,tt0123581
,0.0,0.0,tt0124889
PG-13,35000000.0,57756400.0,tt0125022
PG,60000000.0,487853000.0,tt0126029
,150000.0,0.0,tt0126899
R,8500000.0,327418.0,tt0127349
,0.0,0.0,tt0128158
,0.0,0.0,tt0128165
PG,127500000.0,354248000.0,tt0130623
PG,76000000.0,35134800.0,tt0131704
PG-13,0.0,0.0,tt0132078
PG-13,94000000.0,54744700.0,tt0132245
,0.0,0.0,tt0132885
R,10000000.0,0.0,tt0132910
,0.0,0.0,tt0133063
PG-13,100000000.0,362212000.0,tt0133152
,0.0,0.0,tt0133752
R,40000000.0,161834000.0,tt0134084
R,0.0,0.0,tt0134630
R,23000000.0,53187700.0,tt0134847
R,90000000.0,14828100.0,tt0134983
,0.0,0.0,tt0135707
,0.0,0.0,tt0138288
,1700000.0,0.0,tt0138353
PG,95000000.0,76432700.0,tt0138749
PG-13,0.0,0.0,tt0138818
PG-13,0.0,0.0,tt0138927
R,0.0,0.0,tt0138946
PG,0.0,0.0,tt0139388
,0.0,0.0,tt0139500
R,45000000.0,104876000.0,tt0139654
,0.0,0.0,tt0141120
R,90000000.0,10372300.0,tt0141907
PG-13,62000000.0,127666000.0,tt0141926
R,0.0,0.0,tt0142650
,0.0,0.0,tt0143344
R,7000000.0,34266600.0,tt0144084
R,3000000.0,0.0,tt0144142
PG-13,84000000.0,123308000.0,tt0144528
,0.0,0.0,tt0144574
PG,0.0,0.0,tt0144608
R,25000000.0,15843600.0,tt0144964
PG-13,80000000.0,34566700.0,tt0146309
PG-13,115000000.0,274703000.0,tt0146316
R,30000000.0,47126300.0,tt0146882
PG-13,80000000.0,39459400.0,tt0146984
,0.0,0.0,tt0147486
,0.0,0.0,tt0148120
,0.0,0.0,tt0148415
,0.0,0.0,tt0148421
PG-13,0.0,0.0,tt0149367
PG-13,57000000.0,0.0,tt0149624
R,10000000.0,0.0,tt0150021
,6900000.0,15000000.0,tt0151150
,0.0,0.0,tt0151309
,0.0,0.0,tt0152083
,0.0,0.0,tt0153012
,0.0,0.0,tt0153100
,0.0,0.0,tt0153464
,0.0,0.0,tt0153533
R,0.0,0.0,tt0155150
,0.0,0.0,tt0156020
R,10000000.0,7201700.0,tt0156323
R,0.0,0.0,tt0156741
PG-13,0.0,0.0,tt0156757
PG-13,0.0,0.0,tt0156807
PG,6000000.0,35547800.0,tt0156812
PG-13,25000000.0,24362800.0,tt0156841
,1200000.0,0.0,tt0156942
,1400000.0,0.0,tt0157007
R,0.0,0.0,tt0157122
,0.0,0.0,tt0157202
R,26000000.0,270813.0,tt0157262
R,0.0,15705000.0,tt0157583
,0.0,0.0,tt0157836
,0.0,0.0,tt0158033
PG,83000000.0,59468300.0,tt0158622
PG-13,40000000.0,91753200.0,tt0159273
,0.0,0.0,tt0159291
,0.0,0.0,tt0159371
,0.0,0.0,tt0159378
,0.0,0.0,tt0159396
R,0.0,0.0,tt0159784
R,40000000.0,30199100.0,tt0160009
PG-13,92000000.0,264106000.0,tt0160127
,0.0,0.0,tt0160256
,0.0,0.0,tt0160275
,0.0,0.0,tt0160289
R,40000000.0,8694320.0,tt0160399
R,0.0,0.0,tt0160403
R,0.0,0.0,tt0160434
,0.0,0.0,tt0160447
R,50000000.0,31355900.0,tt0160484
R,12000000.0,0.0,tt0160495
,0.0,0.0,tt0160547
,0.0,0.0,tt0160611
,800000.0,0.0,tt0160616
,0.0,0.0,tt0160644
R,0.0,0.0,tt0160652
,0.0,0.0,tt0160663
PG-13,0.0,0.0,tt0160710
PG,0.0,0.0,tt0160749
,0.0,0.0,tt0160759
R,60000000.0,71000000.0,tt0160797
,0.0,0.0,tt0160859
,0.0,0.0,tt0161003
PG-13,100000000.0,291420000.0,tt0161081
PG-13,60000000.0,38400000.0,tt0161083
,0.0,0.0,tt0161216
R,0.0,0.0,tt0161860
R,0.0,0.0,tt0162030
,0.0,0.0,tt0162203
PG-13,90000000.0,429632000.0,tt0162222
R,7000000.0,0.0,tt0162346
R,46000000.0,107626000.0,tt0162650
R,0.0,0.0,tt0162711
PG-13,60000000.0,51880000.0,tt0162983
,93000000.0,368781000.0,tt0163025
,0.0,0.0,tt0163080
,0.0,0.0,tt0163125
,0.0,0.0,tt0163246
,0.0,0.0,tt0163596
PG-13,15000000.0,5217500.0,tt0163676
R,1000000.0,0.0,tt0163745
,0.0,0.0,tt0163764
R,40000000.0,144057000.0,tt0163978
R,40000000.0,0.0,tt0163983
R,95000000.0,190213000.0,tt0164052
,0.0,0.0,tt0164182
,0.0,0.0,tt0164192
R,25000000.0,1308240.0,tt0164212
,0.0,0.0,tt0164318
R,60000000.0,105179000.0,tt0164334
,0.0,0.0,tt0164545
,0.0,0.0,tt0164953
R,0.0,13240800.0,tt0164961
,0.0,0.0,tt0165400
R,0.0,0.0,tt0165452
,0.0,0.0,tt0165642
,0.0,0.0,tt0165713
,0.0,0.0,tt0165800
R,0.0,0.0,tt0165928
R,25000000.0,91036800.0,tt0165929
,0.0,0.0,tt0166013
R,10000000.0,7316660.0,tt0166110
R,4000000.0,6718.0,tt0166158
,100.0,0.0,tt0166186
,0.0,0.0,tt0166192
PG-13,75000000.0,5409520.0,tt0166276
,100000.0,0.0,tt0166370
R,15000000.0,20271100.0,tt0166924
,0.0,0.0,tt0167183
PG-13,34000000.0,14400300.0,tt0167203
PG,0.0,0.0,tt0167360
,0.0,0.0,tt0168446
R,0.0,0.0,tt0168504
,0.0,0.0,tt0168509
R,10000.0,10000.0,tt0168612
R,12800000.0,40031900.0,tt0168629
,0.0,0.0,tt0168631
,0.0,0.0,tt0168714
,18000000.0,5595330.0,tt0168856
PG,5200000.0,8100000.0,tt0169102
,0.0,0.0,tt0169122
R,0.0,0.0,tt0169324
,0.0,0.0,tt0169543
NR,0.0,0.0,tt0170008
PG,123000000.0,345823000.0,tt0170016
,0.0,0.0,tt0170367
,0.0,0.0,tt0170452
R,10000000.0,148701.0,tt0170691
,0.0,0.0,tt0171339
R,10000000.0,1631840.0,tt0171356
R,2000000.0,1568750.0,tt0171359
PG-13,30000000.0,59945200.0,tt0171433
R,24000000.0,0.0,tt0171580
,0.0,0.0,tt0172464
R,103000000.0,465361000.0,tt0172495
,0.0,0.0,tt0172543
,0.0,0.0,tt0172632
,0.0,0.0,tt0172699
R,0.0,0.0,tt0172794
R,100000.0,0.0,tt0172949
,0.0,0.0,tt0172995
R,0.0,0.0,tt0173498
,0.0,0.0,tt0173568
R,10000000.0,0.0,tt0173716
PG-13,137000000.0,85131800.0,tt0173840
R,3000000.0,0.0,tt0174336
PG-13,65000000.0,0.0,tt0174480
,0.0,0.0,tt0174646
,0.0,0.0,tt0174732
,0.0,0.0,tt0175114
R,19000000.0,278020000.0,tt0175142
R,0.0,0.0,tt0175526
,0.0,0.0,tt0176244
R,0.0,0.0,tt0176579
R,0.0,0.0,tt0176650
R,14000000.0,5108820.0,tt0176783
PG,0.0,0.0,tt0176883
R,0.0,0.0,tt0177068
,0.0,0.0,tt0177185
,30000.0,0.0,tt0177195
,0.0,0.0,tt0177213
,0.0,0.0,tt0177513
PG-13,16000000.0,146193.0,tt0177650
,0.0,0.0,tt0177845
,0.0,0.0,tt0177858
,3000000.0,0.0,tt0177885
R,0.0,27.0,tt0177888
PG-13,120000000.0,325757000.0,tt0177971
,0.0,0.0,tt0177997
R,0.0,0.0,tt0178043
R,0.0,0.0,tt0178050
R,0.0,0.0,tt0178642
,0.0,0.0,tt0179144
R,11000000.0,0.0,tt0179183
R,0.0,0.0,tt0179344
,0.0,0.0,tt0179400
R,0.0,0.0,tt0179435
,0.0,0.0,tt0179443
R,4000000.0,0.0,tt0179473
R,60000000.0,56360000.0,tt0179626
,0.0,0.0,tt0179653
,0.0,0.0,tt0179861
